Auto,13121,45
Wecker,13547,66
Tee,24352,202
Banane,24424,1
Haus,25426,60
Kaffee,32436,215
PC,32637,44
Marzipanan,34235,153
Schuh,35254,12
Lampe,35343,12
PS4,35433,2
Block,42335,423
PS3,43535,2
Bohne,46322,58
Flasche,53678,75
USB-Stick,54353,6
Kakao,54678,217
Kopfhörer,55334,3
Tier,57542,1
Darts,63433,12
Eis,64375,4
Nüsse,64563,41
TV,64776,54
Bier,65433,32
Milch,74658,23
Papier,85428,23
Stift,85469,25
Rutsche,86749,8
Tv,93227,102
Glas,98424,1
Kanne,21361,3
Blumen,42313,35
Klingel,12144,2
Klingel,12435,43
Handschuhe,23256,65
Glas,13245,4
Rucksack,13235,32
Schreibtisch,15367,53
